Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Paul Wilson,54,10216.59,0,2.77,7,1/17/2008 16:01,"8764 Wilson Plaza New Sharonview, MT 83968","Williams, Mcintyre and Burns",0
Sandra Hogan,37,12766.24,0,3.72,9,6/14/2010 20:59,"12928 Heather Island Apt. 889 East Michelle, KY 96712-4016",Yu-Murillo,0
Anna Wood,38,11360.99,0,4.5,7,8/6/2008 5:26,"33021 Cody Falls Apt. 693 Bellfort, NM 76335-9037",Miranda-Sloan,0
Patrick Edwards,47,9166.22,0,3.51,9,3/19/2015 5:04,"215 Gardner Islands Apt. 747 East Jonathanmouth, AL 62844-5315",Pierce and Sons,0
Matthew Clayton,41,8996.04,1,6.19,9,4/20/2011 6:33,"866 Huffman Ports Suite 795 South Stacyport, KS 32492",Morgan and Sons,0
Mark Marquez,55,9743.57,0,5.89,8,7/11/2009 5:41,"631 Christopher Mount South Abigailport, LA 19480",Martin-Cobb,0
Alexis Allen,43,7686.13,1,7.17,8,9/27/2016 7:00,"7448 Jason Ridges Heatherfort, GU 92916-6774",Jones and Sons,0
Melissa Coleman,29,13255.05,1,4.89,8,2/21/2016 14:20,"9334 Colleen Passage Apt. 344 Michelleberg, MD 31481","Gonzalez, Abbott and Lane",0
Terry Curtis MD,48,8403.02,0,3.61,11,3/13/2016 7:22,"080 Jamie Way Cartermouth, MA 05582",Blackburn-Bush,0
Jessica Campbell,43,7277.27,1,5.98,8,9/20/2014 3:34,"510 Armstrong Square Davisshire, SC 57672-9166",Bates and Sons,0
Brandon Wilson,32,8575.71,0,4.26,9,11/15/2006 14:58,Unit 6545 Box 5723 DPO AP 79461,"Parker, Hoffman and Pugh",0
Meghan Jackson,46,9844.79,0,3.57,11,1/3/2010 10:44,"6574 Travis Extensions New Casey, RI 40982",Phillips-Peters,0
Jeffrey Simpson,42,7529.23,1,5.86,7,2/15/2006 12:09,"913 Thomas Dale Harristown, OR 05449-4141","Thompson, Vaughan and House",0
Cheryl Hernandez,46,4111.4,0,3.93,8,2/18/2010 18:40,"7772 Elizabeth Ridge North Chloe, AL 79941",Beltran Group,0
Amy Riddle,45,8389.84,1,6.81,5,8/19/2009 8:06,"4964 Page Estate East Richardmouth, OK 43652",Parker PLC,0
Linda Moore,40,7864.63,0,4.56,9,9/11/2008 19:53,"2736 Sharon Spring South Joshuafort, FM 69643",Wilson PLC,0
Carol Bush,39,8677.62,0,5.2,7,2/26/2007 18:24,"210 Ray Estates East Debbie, SD 40157-2687",Miller-Morgan,0
Gail Lopez,25,9672.03,0,5.49,8,1/2/2006 4:16,Unit 8122 Box 5528 DPO AP 49927,"Chapman, Howard and Campos",0
Joseph Bauer,33,11370.28,1,4.4,6,3/8/2010 19:38,"580 Beasley Junctions Apt. 927 Woodston, AZ 17941",Patterson LLC,0
Kayla Foley,44,13915.9,0,4.61,9,4/4/2008 4:04,"636 Dana Spurs Apt. 334 West Amytown, NC 29641","Campbell, Velasquez and Porter",0
Teresa Reyes,35,10999.05,0,4.76,10,2/8/2009 13:41,"831 Heidi Stream Apt. 991 West Taylorstad, ID 48825-5453","Mendez, Harris and Gordon",0
Shannon Potter,39,7636.98,0,5.56,9,2/20/2013 7:41,"741 Nicole Via Apt. 202 Lake Darrellberg, WI 22772","Riddle, Baldwin and Brown",0
Barbara Singleton,38,9461.83,0,4.9,10,8/2/2012 14:55,"176 Cheryl Plains Suite 253 Harrisonmouth, PW 17373-8223",Kennedy and Sons,0
Kayla Reeves,38,100,0,5.27,5,10/3/2006 9:01,"1511 Porter Drive Amberberg, NC 44608",Stewart-Lopez,0
Tami Smith,53,9655.25,0,4.44,10,10/19/2006 1:12,"30920 Bell Passage Suite 036 Annafort, PR 57518-0173",Neal and Sons,0
Brandon Hunter,45,15188.65,0,6.17,8,7/7/2010 22:11,"285 Rhonda Harbors Trevinochester, TX 18888-5407",Ramos PLC,0
Lisa Rodriguez,49,14124,1,3.02,10,12/17/2014 2:27,"567 Ian Loop Lambertberg, MA 68810-6480","Rocha, Wagner and Chandler",0
Eric Martin,44,14155.97,1,6.99,8,5/31/2006 9:24,"162 Paul Freeway Apt. 301 New Jessicaton, SC 29138",Warner-Welch,0
Sharon Hull,37,11294.26,0,4.95,10,11/9/2007 16:04,USCGC Collier FPO AE 40469-8677,Bradley-White,0
Allison Clark DDS,43,14241.75,0,3.73,12,7/11/2006 11:32,"PSC 9202, Box 1991 APO AA 75619",Robinson-Perez,0
Nicholas Williams,43,11334.3,0,3.47,9,1/21/2014 22:14,"600 Rachel Manor Port Mary, SD 03631-0936",Haley Inc,0
Wanda Hess,34,7818.13,0,6.11,8,3/2/2006 1:45,"3334 Alvarez Streets Apt. 358 Joyceton, MH 42340-8249",Mccarty-Stevens,0
Fernando Ramsey,47,11520.18,1,5.07,9,12/4/2014 9:09,"73285 Norman Ramp Apt. 829 Tommyport, ID 38974-8331",Anderson-Palmer,0
Sylvia Crawford,47,7996.78,1,5.45,8,7/23/2009 6:05,"032 Craig Lane Robertstown, AK 35233",Nguyen-Grant,0
Trevor Burns,27,8628.8,1,5.3,7,4/11/2016 8:58,"2786 Collins Loaf Susanchester, CT 84620-3615",King LLC,0
Kristen Terry,39,10292.19,0,4.99,8,11/12/2015 3:06,"2091 Antonio Tunnel Apt. 841 Gibsonburgh, GU 98706",Rodriguez Group,0
Mr. Joseph Garcia,32,11540.86,0,3,7,12/30/2008 8:28,"3028 Robles Road South Megan, CT 13834-0339","Zuniga, Clark and Shaffer",0
Lauren Nelson,40,7490.92,0,4.75,5,8/5/2013 20:26,"341 Benjamin Knolls Robertview, ND 28469-9018",Hall Inc,0
