Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Jennifer Hernandez,39,11159.46,0,3.95,11,8/23/2010 13:43,"1526 Jessica Corner Suite 592 Lindsayshire, OH 56989-0550","Howe, Carpenter and Washington",0
Heather Figueroa,36,12668.26,0,4.54,12,6/27/2007 2:09,"945 Blankenship Plain Suite 062 East Christopherville, MI 15647-1190",Martin and Sons,0
Russell Marks,38,9087.9,0,2.7,10,2/10/2015 10:17,"310 Taylor Walks Apt. 649 Lake Shane, MD 23982",Mcknight and Sons,0
Riley Gill,41,9091.21,0,4.55,11,10/20/2007 8:11,"30353 Amber Extension Apt. 202 Austinberg, VA 89084","Robertson, Young and Mcfarland",0
Brian Love,44,8755.02,1,5.71,8,6/15/2010 2:58,"43677 Smith Mission Meganview, VA 54055",Quinn and Sons,0
Lauren Walker,37,6362.93,1,6.8,7,8/2/2007 2:34,"599 Graham Courts North Katherine, WI 92642",Young-Newman,0
Melanie Bender,48,13189.35,0,3.25,7,1/18/2006 3:29,"007 Shaw Trafficway Patrickstad, PA 29094-0827",Richardson-Keller,0
Samuel Castillo,47,10584.71,0,6.05,8,4/14/2006 4:20,"63139 Kristin Locks Suite 522 Lambton, WI 60723-5177",Jimenez-Thompson,0
Ashley Soto,49,9853.64,1,6.95,6,1/1/2012 21:48,"275 Thompson Street Lake Nathan, AS 67338-1025",Brown Inc,0
Adriana James,36,10448.09,0,4.13,8,4/9/2016 9:02,USNV Ferguson FPO AP 58507,"Doyle, Butler and Coleman",0
Andrea Salas,42,11473.38,1,2.87,10,3/19/2015 22:32,"308 Graham Corners Valeriehaven, SC 12062",Blackwell PLC,0
Erik Johnson,39,8986.28,0,4.36,8,12/12/2007 11:10,"6987 Weiss Flats Apt. 770 North Maria, MS 98836-9686",Lewis Group,0
Christopher Whitehead,33,13314.19,0,5.45,9,1/10/2007 1:47,"323 Farmer Cape Apt. 744 Jonathanfort, NJ 29387-2732",Harvey-Mckay,0
Casey Mcdaniel,41,9918.77,0,4.02,10,3/4/2016 4:04,Unit 5523 Box 7609 DPO AA 77484-6339,Bishop and Sons,0
Jeremiah Lee,45,12783.21,1,4.47,10,12/2/2015 8:14,"03538 Gonzalez Forges Hamiltonbury, CA 87284",Snyder PLC,0
Jennifer Patterson,46,7026.18,0,6.3,8,1/31/2012 23:08,"01546 Jared Key Justinview, OR 04118-6027","Carlson, King and Murray",0
Lawrence Morton,48,9706.88,0,6.45,8,8/24/2006 18:32,"0434 Douglas Ridge Suite 884 Raychester, DE 82008",Clark LLC,0
Jeffrey Hunt,42,10236.95,1,5.71,8,12/11/2013 11:20,"479 Samantha Groves Suite 505 Morrowshire, CA 94582-2855",Garcia Group,0
Gina Richardson,33,13157.08,1,5.04,10,8/14/2006 9:24,"44577 John Keys Robertview, FL 73433-8410",Murphy Inc,0
Richard Farmer,44,8588.46,1,7.77,8,5/7/2012 9:58,"115 Courtney Springs Suite 396 Jenniferland, IL 43853-4718","Schroeder, Hines and Thompson",0
Brian White,48,7778.73,1,4.18,8,1/9/2013 6:06,"PSC 1209, Box 3739 APO AE 03896","Martinez, Ochoa and Jennings",0
Richard Meadows,42,10268,0,5.33,6,9/14/2007 4:40,"64425 Brittany Common Joycechester, NE 85166-7648","Thompson, Rojas and Moore",0
Omar Moore,34,9845.35,0,4.82,7,12/4/2008 20:34,"960 Joseph Landing South Philip, MH 88524-5021",Ortiz-Nixon,0
Tasha Reed,37,11912.13,0,5.67,10,2/19/2011 18:04,"575 Kara Shores Anthonyburgh, VT 30056",Price Group,0
Albert Clayton,33,12115.91,1,5.5,9,8/9/2010 0:14,Unit 6274 Box 5329 DPO AA 54598,"Mann, Roberts and Hoffman",0
John Mejia,35,10801.37,1,5.64,11,12/4/2014 7:09,"1159 Charles Mountain Elainechester, ND 45109",Adams-Crawford,0
Diane Terry,53,13173.82,0,5.26,7,10/15/2007 3:45,"543 Bell Ranch Apt. 002 Kevinfurt, ID 14051-9447","Walton, Barnes and Simon",0
Christina Maldonado,49,9940.76,0,5.72,11,8/28/2006 11:16,"483 Douglas Club Apt. 632 Port Valerie, PW 88649-6413","Moreno, Green and Moreno",0
Kathryn Malone,46,12261.79,1,3.72,10,2/17/2010 15:02,"52750 Roberts Via Stephenstad, ME 82199-5372",Stewart-Nichols,0
Cynthia Burns,47,12987.28,0,5.86,10,8/30/2007 7:15,USCGC Gould FPO AP 18053-9165,"Perez, Miller and Mcdowell",0
Christina Reed,51,4523.91,0,3.98,8,3/6/2013 1:02,"53000 Mary Bypass New Markbury, IL 60012-4197",Atkins Group,0
Brittney Stokes,41,6172.23,0,4.28,8,11/11/2013 4:06,"1045 Kimberly Avenue South John, AR 19601",Hood-Webb,0
Mary Griffin,49,6283.67,0,6.35,11,1/7/2007 4:15,"91062 Michelle Underpass Lloydmouth, ND 88737",Mathews-Clark,0
Carla Wolfe,48,7232.06,1,4.9,6,11/21/2009 12:47,"67507 Brittany Prairie Apt. 279 Solisborough, VA 81388-7017",Ross Group,0
Emily Little,35,6683.82,1,7.82,7,5/6/2015 23:55,"1779 Jessica Glen West Tylerport, VT 62988-2923",Moore PLC,0
Jason Santana,39,9408.96,1,3.83,4,9/30/2011 6:15,"8072 Kathy Harbors Apt. 845 Normanburgh, MA 46572-1532",Gonzalez LLC,0
